subjects;time;condition;modulation_evoked;amplitude_evoked;RDK_electrodes
16;[1000 1750]ms;primed;4.26995839122235;5.200005328942;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
16;[250 1000]ms;nonprimed;-12.9165216967003;4.91316335881289;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
16;[1000 1750]ms;nonprimed;4.50507351950681;5.69868113740613;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
16;[250 1000]ms;not attended;-14.9384208790625;4.71505026637074;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
16;[1000 1750]ms;not attended;-15.536932478246;4.80937654373982;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
17;[250 1000]ms;primed;1.76329600114593;2.03044367410063;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
17;[1000 1750]ms;primed;7.2576524031531;2.14590766462673;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
17;[250 1000]ms;nonprimed;5.2656022994379;2.0863942411757;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
17;[1000 1750]ms;nonprimed;4.13242243163774;2.07297220918321;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
17;[250 1000]ms;not attended;-2.34545096744786;2.09316670403038;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
17;[1000 1750]ms;not attended;-10.5517688190814;1.90732692443218;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
18;[250 1000]ms;primed;15.4575851610846;4.30852629433793;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
18;[1000 1750]ms;primed;9.51849830765085;3.94893734110999;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
18;[250 1000]ms;nonprimed;-6.98688068504596;3.69423860598266;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
18;[1000 1750]ms;nonprimed;1.61779051220294;3.99155277116192;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
18;[250 1000]ms;not attended;-7.35000830171854;3.54227757208126;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
18;[1000 1750]ms;not attended;-22.6368652979533;3.06458113918599;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
19;[250 1000]ms;primed;-2.09105189887109;4.99616733531362;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
19;[1000 1750]ms;primed;-4.86385556184959;4.86835135299316;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
19;[250 1000]ms;nonprimed;-16.1493271601569;4.37534032736447;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
19;[1000 1750]ms;nonprimed;-0.624885161717733;5.18518052150294;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
19;[250 1000]ms;not attended;-18.2502084704199;4.17127276532019;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
19;[1000 1750]ms;not attended;-8.60635659620934;4.67519755379851;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
20;[250 1000]ms;primed;-0.951820244084519;1.67675776559463;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
20;[1000 1750]ms;primed;-7.50843802104701;1.61872402581153;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
20;[250 1000]ms;nonprimed;-1.27610822969286;1.71879580893467;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
20;[1000 1750]ms;nonprimed;-7.7179131557032;1.61035741747859;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
20;[250 1000]ms;not attended;-4.87692627054719;1.45873257384677;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
20;[1000 1750]ms;not attended;-7.49014185056654;1.4162162814763;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
21;[250 1000]ms;primed;14.263787641558;4.69186209976878;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
21;[1000 1750]ms;primed;7.83638413911013;4.47655583247286;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
21;[250 1000]ms;nonprimed;4.22234923569197;3.69753015491971;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
21;[1000 1750]ms;nonprimed;5.69019867792162;4.01832300567955;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
21;[250 1000]ms;not attended;-13.5339133075832;3.35344125151225;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
21;[1000 1750]ms;not attended;-14.4956721931798;3.39945625767265;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
22;[250 1000]ms;primed;-2.16632108180384;1.26797597719632;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
22;[1000 1750]ms;primed;-20.1535893936747;1.04503000765732;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
22;[250 1000]ms;nonprimed;-25.5442239320565;0.900218668672227;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
22;[1000 1750]ms;nonprimed;-3.75345655732958;1.16985017225095;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
22;[250 1000]ms;not attended;-4.55723555145395;0.927415311950998;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
22;[1000 1750]ms;not attended;3.39515916342588;0.963558847551903;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
23;[250 1000]ms;primed;15.3144404503078;2.03924531092758;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
23;[1000 1750]ms;primed;1.64805223851679;1.80757488376906;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
23;[250 1000]ms;nonprimed;8.96374012104834;1.62370681578351;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
